Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1984,03,31.2,Y
IDCJAC0002,014015,1984,04,32.7,Y
IDCJAC0002,014015,1984,05,32.7,Y
IDCJAC0002,014015,1984,06,30.5,Y
IDCJAC0002,014015,1984,07,29.4,Y
IDCJAC0002,014015,1984,08,30.9,Y
IDCJAC0002,014015,1984,09,31.9,Y
IDCJAC0002,014015,1984,10,33.5,Y
IDCJAC0002,014015,1984,11,33.0,Y
IDCJAC0002,014015,1984,12,32.2,Y
IDCJAC0002,014015,1985,01,32.7,Y
IDCJAC0002,014015,1985,02,31.6,Y
IDCJAC0002,014015,1985,03,32.2,Y
IDCJAC0002,014015,1985,04,33.1,Y
IDCJAC0002,014015,1985,05,32.5,Y
IDCJAC0002,014015,1985,06,29.2,Y
IDCJAC0002,014015,1985,07,29.3,Y
IDCJAC0002,014015,1985,08,31.3,Y
IDCJAC0002,014015,1985,09,32.8,Y
IDCJAC0002,014015,1985,10,32.8,Y
IDCJAC0002,014015,1985,11,33.5,Y
IDCJAC0002,014015,1985,12,33.7,Y
IDCJAC0002,014015,1986,01,31.6,Y
IDCJAC0002,014015,1986,02,32.2,Y
IDCJAC0002,014015,1986,03,32.3,Y
IDCJAC0002,014015,1986,04,32.5,Y
IDCJAC0002,014015,1986,05,32.5,Y
IDCJAC0002,014015,1986,06,31.1,Y
IDCJAC0002,014015,1986,07,30.3,Y
IDCJAC0002,014015,1986,08,30.4,Y
IDCJAC0002,014015,1986,09,32.4,Y
IDCJAC0002,014015,1986,10,32.7,Y
IDCJAC0002,014015,1986,11,33.2,Y
IDCJAC0002,014015,1986,12,33.8,Y
IDCJAC0002,014015,1987,01,31.4,Y
IDCJAC0002,014015,1987,02,30.2,Y
IDCJAC0002,014015,1987,03,33.0,Y
IDCJAC0002,014015,1987,04,33.1,Y
IDCJAC0002,014015,1987,05,32.5,Y
IDCJAC0002,014015,1987,06,31.4,Y
IDCJAC0002,014015,1987,07,30.5,Y
IDCJAC0002,014015,1987,08,31.2,Y
IDCJAC0002,014015,1987,09,32.1,Y
IDCJAC0002,014015,1987,10,33.8,Y
IDCJAC0002,014015,1987,11,33.5,Y
IDCJAC0002,014015,1987,12,32.0,Y
IDCJAC0002,014015,1988,01,32.7,Y
IDCJAC0002,014015,1988,02,32.2,Y
IDCJAC0002,014015,1988,03,32.7,Y
IDCJAC0002,014015,1988,04,32.9,Y
IDCJAC0002,014015,1988,05,32.8,Y
IDCJAC0002,014015,1988,06,31.0,Y
IDCJAC0002,014015,1988,07,31.6,Y
IDCJAC0002,014015,1988,08,32.9,Y
IDCJAC0002,014015,1988,09,32.7,Y
